#H_Fe	err_H_Fe	B[mT]	err_B[mT]
183.5119889	7.3297379	-55	1.65
180.3673348	7.3243143	-55	1.65
183.5119889	7.3297379	-55	1.65
186.656643	7.335387	-55	1.65
183.5119889	7.3297379	-55	1.65
183.5119889	7.3297379	-55	1.65
186.656643	7.335387	-55	1.65
186.656643	7.335387	-55	1.65
178.699044	7.2576813	-54.5	1.635
181.8436981	7.2631039	-54.5	1.635
184.9883522	7.2687541	-54.5	1.635
181.8436981	7.2631039	-54.5	1.635
178.699044	7.2576813	-54.5	1.635
181.8436981	7.2631039	-54.5	1.635
184.9883522	7.2687541	-54.5	1.635
181.8436981	7.2631039	-54.5	1.635
184.9883522	7.2687541	-54.5	1.635
188.1330063	7.2746314	-54.5	1.635
184.9883522	7.2687541	-54.5	1.635
183.5119889	7.3297379	-55	1.65
178.699044	7.2576813	-54.5	1.635
181.8436981	7.2631039	-54.5	1.635
178.699044	7.2576813	-54.5	1.635
181.8436981	7.2631039	-54.5	1.635
183.5119889	7.3297379	-55	1.65
178.699044	7.2576813	-54.5	1.635
184.9883522	7.2687541	-54.5	1.635
184.9883522	7.2687541	-54.5	1.635
181.8436981	7.2631039	-54.5	1.635
178.699044	7.2576813	-54.5	1.635
178.699044	7.2576813	-54.5	1.635
232.6748891	6.7118221	-49	1.47
296.3504377	4.9006378	-28.5	0.855
320.0460638	4.1050123	-4.5	0.135
341.5566735	5.1940632	14.5	0.435
351.2563769	6.6085253	29.5	0.885
351.7140456	8.0938888	43.5	1.305
368.2788398	9.6158279	55.5	1.665
396.4626127	11.8761128	72.5	2.175
389.538465	13.2411605	84	2.52
408.1554051	14.5600246	93.5	2.805
455.7238281	17.7222799	116	3.48
486.4764725	20.471075	136	4.08
495.7923209	22.7150455	153	4.59
505.8758794	24.4567791	166	4.98
525.2014726	26.3857344	180	5.4
548.9561557	28.5372932	195.5	5.865
554.2267693	30.3288157	209	6.27
557.3123664	31.4578493	217.5	6.525
571.1163616	32.8415578	227.5	6.825
581.5837751	34.3396917	238.5	7.155
592.2431162	35.7084885	248.5	7.455
587.9468969	36.4756375	254.5	7.635
609.7084911	37.8362633	264	7.92
626.6571403	39.238346	274	8.22
640.2692079	40.7555388	285	8.55
649.4521857	42.0534062	294.5	8.835
666.78469	43.1942358	302.5	9.075
689.8307199	44.7589752	313.5	9.405
711.0165315	46.5123289	326	9.78
751.9708483	48.8251363	342	10.26
