#H_Fe	err_H_Fe	B[mT]	err_B[mT]
-219 9 65.5 2.0
-215 9 65.5 2.0
-219 9 65.5 2.0
-215 9 65.5 2.0
-222 9 65.5 2.0
-219 9 65.5 2.0
-219 9 65.5 2.0
-219 9 65.5 2.0
-219 9 65.5 2.0
-219 9 65.5 2.0
-219 9 65.5 2.0
-219 9 65.5 2.0
-219 9 65.5 2.0
-219 9 65.5 2.0
-214 9 66.0 2.0
-215 9 65.5 2.0
-219 9 65.5 2.0
-219 9 65.5 2.0
-222 9 65.5 2.0
-219 9 65.5 2.0
-222 9 65.5 2.0
-219 9 65.5 2.0
-219 9 65.5 2.0
-263 8 61.0 1.8
-300 7 49.5 1.5
-337 5 28.5 0.9
-348 4 9.0 0.3
-377 5 -9.5 0.3
-404 7 -31.5 0.9
-432 10 -51.5 1.5
-465 13 -74.5 2.2
-476 15 -94 3
-487 17 -110 3
-505 19 -123 4
-486 20 -132 4
-489 21 -137 4
-552 23 -155 5
-600 30 -180 5
-620 30 -200 6
-650 30 -220 7
-670 30 -239 7
-710 40 -261 8
-760 40 -286 9
-800 40 -310 9
-840 50 -332 10
-870 50 -356 11
-900 50 -376 11
-900 60 -390 12
-910 60 -403 12
-960 60 -418 13
-980 60 -436 13
-1060 70 -459 14
-1120 70 -482 14
-1210 70 -510 15
-1290 80 -538 16
-1370 80 -566 17
-1460 90 -594 18
-1570 90 -627 19
-1680 100 -658 20
-1860 100 -696 21
-1980 110 -732 22
-1980 110 -752 23
-1950 110 -759 23
-1930 110 -762 23
-1930 110 -763 23
-1930 110 -764 23
-1950 110 -765 23
-2010 110 -771 23
-2130 110 -786 24
-2250 120 -806 24
-2340 120 -824 25
-2430 120 -840 30
-2610 130 -860 30
-2760 130 -890 30
-2950 140 -910 30
-3050 140 -930 30
-3090 140 -940 30
-3100 140 -940 30
-3110 140 -940 30
-3110 140 -940 30
-3110 140 -940 30
-3120 140 -940 30
-3120 140 -940 30
-3120 140 -940 30
-3120 140 -940 30
-3120 140 -950 30
-3120 140 -950 30
-3120 140 -950 30
-3120 140 -950 30
-3120 140 -950 30
-3120 140 -950 30
-3120 140 -950 30
-3120 140 -950 30
-3120 140 -950 30
-3120 140 -950 30
-3120 140 -950 30
-3120 140 -950 30
-3120 140 -950 30
-3120 140 -950 30
-3120 140 -950 30
-3120 140 -950 30
-3120 140 -950 30
-3120 140 -950 30
-3120 140 -950 30
-3130 140 -950 30
-3120 140 -950 30
-2850 140 -930 30
-2580 130 -920 30
-2330 130 -900 30
-2170 130 -880 30
-2060 120 -870 30
-1940 120 -860 30
-1800 120 -840 30
-1640 120 -819 25
-1470 110 -793 24
-1310 110 -765 23
-1140 100 -730 22
-950 100 -691 21
-780 90 -647 19
-640 80 -604 18
-510 80 -562 17
-410 70 -524 16
-330 70 -489 15
-240 60 -454 14
-130 60 -407 12
-40 50 -358 11
30 40 -311 9
50 40 -275 8
160 30 -220 7
216 21 -160 5
229 17 -127 4
257 12 -94 3
240 10 -72.0 2.2
214 9 -64.0 1.9
200 8 -60.0 1.8
200 8 -58.0 1.7
195 8 -56.5 1.7
182 7 -55.5 1.7
187 7 -55.0 1.7
182 7 -54.5 1.6
180 7 -54.0 1.6
177 7 -54.0 1.6
180 7 -54.0 1.6
180 7 -54.0 1.6
180 7 -54.0 1.6
180 7 -54.0 1.6
180 7 -54.0 1.6
179 7 -53.5 1.6
180 7 -54.0 1.6
182 7 -53.5 1.6
175 7 -53.5 1.6
172 7 -53.5 1.6
180 7 -54.0 1.6
311 5 -31.0 0.9
364 5 5.00 0.15
431 9 49.0 1.5
490 15 92 3
531 19 126 4
540 23 154 5
580 30 179 5
630 30 209 6
720 40 249 7
750 40 286 9
770 40 311 9
830 50 338 10
940 50 379 11
1010 60 417 12
1090 70 453 14
1230 70 498 15
1350 80 543 16
1470 80 589 18
1590 90 630 19
1720 100 671 20
1850 100 711 21
1840 110 734 22
1800 110 744 22
1790 110 748 22
1780 110 750 23
1780 110 751 23
1810 110 753 23
1890 110 761 23
2020 110 780 23
2080 120 795 24
2210 120 814 24
2370 120 840 30
2500 130 860 30
2610 130 880 30
2720 130 900 30
2890 140 920 30
3020 140 940 30
3050 140 950 30
3060 140 950 30
3080 140 950 30
3080 140 960 30
3080 140 960 30
3090 140 960 30
3080 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3100 140 960 30
3090 140 960 30
3080 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3100 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3100 140 960 30
3100 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3100 140 960 30
3100 140 960 30
3080 140 960 30
2930 140 950 30
2830 140 950 30
2740 140 940 30
2610 140 930 30
2470 130 920 30
2300 130 910 30
2140 130 900 30
1970 130 880 30
1810 120 860 30
1700 120 840 30
1550 120 821 25
1440 110 800 24
1350 110 782 23
1290 110 766 23
1200 100 749 22
1090 100 728 22
960 100 700 21
840 90 672 20
770 90 646 19
670 90 620 19
580 80 592 18
470 80 562 17
370 70 528 16
280 70 493 15
200 60 458 14
110 60 421 13
40 50 384 12
-10 50 346 10
-70 40 307 9
-110 40 270 8
-160 30 233 7
-200 30 194 6
-248 21 156 5
-282 16 119 4
-296 12 91 3
-262 10 77.5 2.3
-242 10 72.5 2.2
-237 9 70.0 2.1
-229 9 68.5 2.1
-227 9 67.0 2.0
-222 9 66.5 2.0
-217 9 66.0 2.0
-220 9 66.0 2.0
-219 9 65.5 2.0
-222 9 65.5 2.0
-219 9 65.5 2.0
-215 9 65.5 2.0
-215 9 65.5 2.0
-217 9 65.0 2.0
-214 9 65.0 2.0
-215 9 65.5 2.0
-217 9 65.0 2.0
-217 9 65.0 2.0
-217 9 65.0 2.0
-220 9 65.0 2.0
-217 9 65.0 2.0
-217 9 65.0 2.0
-217 9 65.0 2.0
-217 9 65.0 2.0
-220 9 65.0 2.0
-217 9 65.0 2.0
-220 9 65.0 2.0
-249 8 62.5 1.9
-296 7 50.0 1.5
-336 5 31.0 0.9
-354 5 10.0 0.3
-391 6 -11.0 0.3
-437 9 -40.5 1.2
-483 12 -71.0 2.1
-532 17 -106 3
-565 21 -134 4
-601 24 -161 5
-650 30 -191 6
-700 30 -223 7
-740 40 -252 8
-810 40 -288 9
-880 50 -323 10
