B I
0,921 369,5
0,9315 373,5
0,9375 376,5
0,9435 379
0,945 380,5
0,9495 382,5
0,9585 385
0,9675 389
0,972 391,5
0,9735 393
0,978 394
0,9825 396
0,9915 399
0,999 402
1,0035 404
1,0095 407
1,0185 410
1,029 414
1,035 417
1,0425 420,5
1,047 422
1,0515 424,5
1,0605 427,5
1,0665 430,5
1,0725 432,5
1,0755 434
1,0785 435,5
1,083 437,5
1,0875 439
1,0935 442
1,0995 444
1,1055 446,5
1,11 448,5
1,1175 450,5
1,1265 454
1,131 456,5
1,1385 459,5
1,143 461,5
1,1535 464,5
1,1625 468
1,17 471
1,179 473,5
1,179 475,5
1,185 478
1,191 480
1,1985 482,5
1,2045 485
1,206 487
1,2135 488,5
1,2195 491,5
1,224 493
1,23 495
1,2345 497,5
1,2435 500,5
1,2525 503
1,2555 504,5
1,26 506,5
1,2615 507,5
1,2645 509
1,272 511,5
1,284 514,5
1,287 516,5
1,29 518
1,296 520
1,3005 521,5
1,302 523
1,3095 524,5
1,314 527
1,3185 529,5
1,32 530,5
1,323 531
1,3275 532,5
1,332 534
1,3365 535,5
1,3395 536,5
1,3425 538
1,347 539,5
1,3545 542
1,362 544,5
1,3725 547
1,38 550
1,3845 553
1,389 554,5
1,3965 556,5
1,401 558,5
1,4055 560
1,4085 561,5
1,413 562,5
1,4205 564,5
1,425 566,5
1,428 568,5
1,4325 570
1,44 572
1,4475 574,5
1,4535 576
1,458 578,5
1,4655 581
1,4715 583
1,4865 587
1,497 591
1,506 594
1,515 597,5
1,524 600,5
1,5315 603
1,539 606
1,5525 609
1,569 614
1,581 618,5
1,59 622
1,599 625,5
1,6065 628
1,6125 630
1,6275 634,5
1,632 636,5
1,6395 639
1,644 640,5
1,6485 642,5
1,653 644
1,659 646
1,662 647
1,6665 648,5
1,6725 650
1,6755 651,5
1,68 653
1,6875 655
1,6935 657
1,704 660
1,707 661,5
1,722 664,5
1,722 666,5
1,7235 667
1,728 667,5
1,7355 670
1,749 673
1,761 676,5
1,7835 682,5
1,797 687,5
1,8135 692
1,8225 696
1,83 699
1,8405 701,5
1,8525 704,5
1,8615 707,5
1,869 710,5
1,8765 713
1,881 714,5
1,884 716
1,8885 717,5
1,896 719
1,914 723
1,9305 727,5
1,941 731
1,9425 733
1,9485 734,5
1,9515 736
1,956 736,5
1,956 737,5
1,9605 738
1,965 739,5
1,968 740,5
1,9695 741,5
1,974 743
1,986 745
1,995 747,5
2,007 750,5
2,0175 753,5
2,025 755,5
2,025 756,5
2,025 757,5
2,028 758
2,04 760
2,0505 762,5
2,0625 766
2,0715 768,5
2,0775 770,5
2,0865 772,5
2,0925 774,5
2,103 777
2,112 780
2,1225 782,5
2,136 785,5
2,145 788,5
2,151 790,5
2,154 792
2,166 794
2,172 796,5
2,1825 799
2,184 800
2,187 801
2,1975 803
2,199 804
2,2065 805
2,214 807
2,223 809
2,2305 811
2,2365 813
2,2455 815,5
2,25 817
2,256 818,5
2,2635 820
2,271 821,5
2,295 826
2,304 829,5
2,3055 830,5
2,3085 831,5
2,3115 832,5
2,3205 834
2,334 836,5
2,343 839
2,364 843
2,3745 846,5
2,3835 849
2,382 849,5
2,382 850
2,3835 850,5
2,3865 850,5
2,3925 851,5
2,406 854
2,4225 857,5
2,4315 860
2,4375 862
2,4555 864,5
2,4795 870
2,4915 873,5
2,5065 876,5
2,526 880,5
2,544 884,5
2,5545 887,5
2,574 891
2,598 895,5
2,6145 899,5
2,6325 903,5
2,6505 907,5
2,6715 911
2,688 914,5
2,712 919
2,7285 922,5
2,745 926
2,7675 930
2,7945 934,5
2,805 937,5
2,814 939,5
2,832 942
2,85 946
2,862 948
2,868 949,5
2,8755 950,5
2,8845 952
2,8965 954
2,9115 956,5
2,919 958
2,9325 960
2,937 961
2,937 961,5
2,9385 962
2,94 962
2,9385 962
2,94 962
2,9385 962
2,9385 962
2,9385 962
2,9385 962
2,9385 962
2,9355 962
2,937 962
2,9385 962
2,937 962
2,9385 962
2,9355 962
2,9355 962
2,937 962
2,937 962
2,937 962
2,9355 962
2,937 962
2,937 961,5
2,937 961,5
2,9355 962
2,9355 962
2,9355 961,5
2,9355 961,5
2,937 961,5
2,937 962
2,937 962
2,9355 961,5
2,937 962
2,934 961,5
2,9355 962
2,9385 962
2,937 961,5
2,937 961,5
2,937 962
2,937 961,5
2,937 962
2,937 962
2,934 961,5
2,934 961,5
2,9355 961,5
2,9355 961,5
2,934 962
2,934 961,5
2,9355 961,5
2,937 962
2,937 962
2,9355 962
2,9355 962
2,9355 961,5
2,937 962
2,9355 962
2,9355 961,5
2,9355 962
2,934 962
2,934 962
2,9355 962
2,934 961,5
2,934 962
2,9355 961,5
2,937 961,5
2,9355 962
2,934 962
2,934 961,5
2,934 961,5
2,9355 962
2,9355 961,5
2,9355 962
2,934 962
2,934 961,5
2,934 961,5
2,9355 962
2,934 961,5
2,934 961,5
2,9355 961,5
2,934 961,5
2,931 961,5
2,931 961,5
2,9295 961
2,9295 961,5
2,925 961
2,9235 961
2,922 960,5
2,9205 960,5
2,919 960,5
2,9175 960,5
2,9175 960
2,916 960
2,913 960,5
2,91 959,5
2,904 959,5
2,9025 959,5
2,901 959
2,8995 959
2,8995 959
2,898 959
2,8965 959
2,898 959
2,8965 958,5
2,8935 958,5
2,8935 958,5
2,8935 958,5
2,8935 958,5
2,8905 958,5
2,8905 958,5
2,889 958,5
2,8905 958
2,8875 958
2,886 958
2,8845 957,5
2,8785 957
2,871 957
2,871 956,5
2,868 956,5
2,865 956,5
2,865 956
2,865 956
2,862 956
2,862 955,5
2,859 956
2,856 955,5
2,8545 955
2,8515 955
2,85 954,5
2,8485 954,5
2,8425 954
2,841 954
2,838 953,5
2,832 953,5
2,829 952,5
2,823 952
2,8215 952
2,8185 951,5
2,817 951,5
2,8155 951,5
2,8155 951,5
2,8095 951
2,808 950,5
2,8005 949,5
2,79 948,5
2,7795 948
2,775 947
2,7705 946,5
2,766 946
2,763 945,5
2,757 945,5
2,754 945
2,7465 944
2,7375 943
2,733 942,5
2,7255 942
2,718 941
2,712 940,5
2,7045 939,5
2,7 939
2,6985 938,5
2,694 938
2,6865 937,5
2,682 937
2,6775 936,5
2,6715 935,5
2,6625 934,5
2,649 933
2,637 931,5
2,631 930,5
2,622 929,5
2,6145 928,5
2,607 927,5
2,5995 926,5
2,5935 925,5
2,592 925
2,5845 924,5
2,577 923,5
2,5695 922
2,562 921,5
2,556 920,5
2,5545 920
2,5545 919,5
2,547 919
2,5425 918,5
2,538 917,5
2,5335 917
2,529 916
2,526 915,5
2,52 915
2,517 914,5
2,5095 913,5
2,502 912,5
2,49 910,5
2,484 909,5
2,475 908,5
2,4705 907,5
2,4645 907
2,4615 906
2,4555 905
2,4435 903,5
2,436 902
2,4285 901
2,427 900,5
2,4195 899,5
2,4135 898,5
2,412 897,5
2,4075 897
2,406 896,5
2,4045 896,5
2,4045 896
2,397 895,5
2,388 894
2,3775 892,5
2,3655 890,5
2,3595 889
2,3535 888
2,352 887,5
2,352 887
2,352 887
2,349 887
2,346 886
2,3415 885,5
2,34 885
2,334 884,5
2,328 883,5
2,3145 881,5
2,3115 880
2,307 879
2,298 878
2,283 876
2,262 872
2,2545 869,5
2,253 868,5
2,2515 868,5
2,2485 868
2,241 866,5
2,2395 866,5
2,2365 865,5
2,2335 864,5
2,229 864
2,2275 863,5
2,2245 863
2,217 862
2,211 861
2,205 859,5
2,1915 857,5
2,1885 856
2,184 855
2,1825 854,5
2,1825 854
2,1735 853
2,172 852,5
2,166 851
2,1525 849
2,1525 848
2,1465 847
2,1405 846
2,133 844,5
2,1285 843
2,1255 842
2,121 841,5
2,121 841
2,1165 840
2,1075 839,5
2,0895 836
2,0805 833
2,0715 831
2,0625 828,5
2,055 827
2,0475 825,5
2,046 824,5
2,0415 823,5
2,04 822,5
2,037 822
2,0325 821,5
2,0235 819,5
2,013 817,5
2,0055 816
2,001 814
1,998 813
1,992 812
1,989 811,5
1,986 810,5
1,986 810
1,974 808
1,974 807
1,9725 807
1,974 806,5
1,965 805,5
1,959 804
1,95 802
1,926 798
1,911 794
1,884 788
1,866 782,5
1,854 778,5
1,839 775
1,833 772,5
1,8225 770
1,8165 768
1,8135 766,5
1,8045 765
1,8 763
1,797 762
1,7925 760,5
1,7895 760
1,7865 759,5
1,7865 759
1,7835 758,5
1,773 756,5
1,7715 755,5
1,7685 754,5
1,764 753,5
1,7595 752
1,7565 751
1,755 750,5
1,758 750,5
1,755 750
1,7505 749,5
1,7475 749
1,7505 748,5
1,7475 748,5
1,746 748
1,746 747,5
1,7445 747,5
1,746 747
1,7385 746,5
1,7175 742,5
1,6935 737
1,677 731,5
1,6635 727
1,6575 724,5
1,65 722
1,6335 718,5
1,6245 715,5
1,614 712,5
1,6095 710,5
1,6065 710
1,605 708,5
1,596 706,5
1,5885 704,5
1,5765 702
1,5765 700,5
1,575 700
1,575 699,5
1,56 697
1,5525 694
1,5495 692,5
1,545 691,5
1,539 690
1,536 689
1,53 687
1,5255 685
1,5195 684
1,515 682,5
1,5075 680,5
1,4985 678,5
1,497 677,5
1,4895 675
1,479 672,5
1,47 670
1,4655 667,5
1,461 666
1,4535 664
1,452 663,5
1,452 662,5
1,449 662
1,449 661,5
1,4475 661
1,4385 660
1,431 658
1,4265 656
1,4205 653,5
1,413 652
1,404 649,5
1,401 647,5
1,395 646
1,3875 644,5
1,3815 642,5
1,3725 640
1,365 637
1,3605 635
1,356 634
1,3515 632,5
1,344 630,5
1,3425 629
1,3335 627
1,3245 624,5
1,3245 623,5
1,32 622
1,317 621
1,3155 620,5
1,311 619
1,305 617,5
1,3005 616
1,2975 614,5
1,2975 614
1,293 613,5
1,29 612
1,284 610
1,2675 607
1,2615 603,5
