['[\'[\\\'[\\\\\\\'["[\\\\\\\\\\\\\\', '\'\\\'\\\\\\\'"\\\\\\\\\\\\\\\'B_er', '\'\\\'\\\\\\\'"\\\\\\\\\\\\\\\'I\\\\\\', '\'\\\'"\\\\\\\'err_I\\\\\\\']",', '\'"\\\'l_Fe\\\']",\',', '"\'err_l_Fe\']",', "'d']", 'err_d']
-2.4075 -0.0722 -844.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4195 -0.0726 -845.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4255 -0.0728 -849.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4525 -0.0736 -853.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4825 -0.0745 -860.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4885 -0.0747 -863.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.5140 -0.0754 -868.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.5515 -0.0765 -873.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.5785 -0.0774 -877.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.5980 -0.0779 -886.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.6175 -0.0785 -890.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.6280 -0.0788 -889.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.6490 -0.0795 -892.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.6655 -0.0800 -898.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.6835 -0.0805 -902.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.6970 -0.0809 -906.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.6985 -0.0810 -905.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.7015 -0.0810 -908.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.7015 -0.0810 -907.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.7030 -0.0811 -906.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.7045 -0.0811 -906.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.7030 -0.0811 -909.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.7060 -0.0812 -906.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.7030 -0.0811 -908.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.7030 -0.0811 -905.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.7030 -0.0811 -906.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.7060 -0.0812 -906.0000 0.5000 0.4770 0.0040 0.0020 0.0001
