#I	err_I	B	err_B	l	err_l	d	err_d
-2.9895	0.001	-958.5	28.755	0.477	0.004	0.002	0.00005
-2.982	0.001	-961.5	28.845	0.477	0.004	0.002	0.00005
-2.97	0.001	-960.5	28.815	0.477	0.004	0.002	0.00005
-2.9535	0.001	-955	28.65	0.477	0.004	0.002	0.00005
-2.925	0.001	-953.5	28.605	0.477	0.004	0.002	0.00005
-2.9235	0.001	-951.5	28.545	0.477	0.004	0.002	0.00005
-2.9265	0.001	-953.5	28.605	0.477	0.004	0.002	0.00005
-2.931	0.001	-952	28.56	0.477	0.004	0.002	0.00005
-2.934	0.001	-952.5	28.575	0.477	0.004	0.002	0.00005
-2.9325	0.001	-957.5	28.725	0.477	0.004	0.002	0.00005
-2.9325	0.001	-954.5	28.635	0.477	0.004	0.002	0.00005
-2.934	0.001	-953	28.59	0.477	0.004	0.002	0.00005
-2.934	0.001	-957.5	28.725	0.477	0.004	0.002	0.00005
-2.934	0.001	-955	28.65	0.477	0.004	0.002	0.00005
-2.934	0.001	-955.5	28.665	0.477	0.004	0.002	0.00005
-2.9355	0.001	-954.5	28.635	0.477	0.004	0.002	0.00005
-2.9265	0.001	-957	28.71	0.477	0.004	0.002	0.00005
-2.901	0.001	-951.5	28.545	0.477	0.004	0.002	0.00005
-2.877	0.001	-952.5	28.575	0.477	0.004	0.002	0.00005
-2.8575	0.001	-945.5	28.365	0.477	0.004	0.002	0.00005
-2.8425	0.001	-948.5	28.455	0.477	0.004	0.002	0.00005
-2.826	0.001	-946.5	28.395	0.477	0.004	0.002	0.00005
-2.808	0.001	-944.5	28.335	0.477	0.004	0.002	0.00005
-2.793	0.001	-942	28.26	0.477	0.004	0.002	0.00005
-2.772	0.001	-937.5	28.125	0.477	0.004	0.002	0.00005
