I err_I B B_error l_Fe err_l_Fe d 
-2.2725 0.5000 -810.5000 -24.3150 0.4770 0.0040 0.0020
-2.2935 0.5000 -815.0000 -24.4500 0.4770 0.0040 0.0020
-2.3040 0.5000 -817.0000 -24.5100 0.4770 0.0040 0.0020
-2.3190 0.5000 -820.0000 -24.6000 0.4770 0.0040 0.0020
-2.3280 0.5000 -825.0000 -24.7500 0.4770 0.0040 0.0020
-2.3370 0.5000 -827.5000 -24.8250 0.4770 0.0040 0.0020
-2.3475 0.5000 -830.0000 -24.9000 0.4770 0.0040 0.0020
-2.3595 0.5000 -833.5000 -25.0050 0.4770 0.0040 0.0020
-2.3730 0.5000 -837.0000 -25.1100 0.4770 0.0040 0.0020
-2.3835 0.5000 -838.5000 -25.1550 0.4770 0.0040 0.0020
-2.3880 0.5000 -840.0000 -25.2000 0.4770 0.0040 0.0020
-2.3955 0.5000 -841.0000 -25.2300 0.4770 0.0040 0.0020
-2.4105 0.5000 -844.5000 -25.3350 0.4770 0.0040 0.0020
-2.4075 0.5000 -846.5000 -25.3950 0.4770 0.0040 0.0020
-2.4075 0.5000 -845.5000 -25.3650 0.4770 0.0040 0.0020
-2.4090 0.5000 -844.5000 -25.3350 0.4770 0.0040 0.0020
-2.4075 0.5000 -846.5000 -25.3950 0.4770 0.0040 0.0020
-2.4075 0.5000 -844.5000 -25.3350 0.4770 0.0040 0.0020
-2.4075 0.5000 -844.0000 -25.3200 0.4770 0.0040 0.0020
-2.4060 0.5000 -845.5000 -25.3650 0.4770 0.0040 0.0020
-2.4090 0.5000 -844.0000 -25.3200 0.4770 0.0040 0.0020
-2.4090 0.5000 -844.0000 -25.3200 0.4770 0.0040 0.0020
-2.4075 0.5000 -846.5000 -25.3950 0.4770 0.0040 0.0020
-2.4075 0.5000 -846.5000 -25.3950 0.4770 0.0040 0.0020
-2.4075 0.5000 -845.5000 -25.3650 0.4770 0.0040 0.0020
-2.4075 0.5000 -844.0000 -25.3200 0.4770 0.0040 0.0020
-2.4075 0.5000 -846.0000 -25.3800 0.4770 0.0040 0.0020
-2.4075 0.5000 -846.5000 -25.3950 0.4770 0.0040 0.0020
-2.4075 0.5000 -844.5000 -25.3350 0.4770 0.0040 0.0020
-2.4075 0.5000 -844.0000 -25.3200 0.4770 0.0040 0.0020
-2.4060 0.5000 -843.5000 -25.3050 0.4770 0.0040 0.0020
-2.4075 0.5000 -846.5000 -25.3950 0.4770 0.0040 0.0020
